Timestamp,Temperature,Resistances,Mean,Std
0,301.1,16.46076,,
1,301.1,16.47092,,
2,301.1,16.47735,,
3,301.1,16.46558,,
4,301.1,16.47151,,
5,301.1,16.4688,,
6,301.1,16.47042,,
7,301.1,16.45747,,
8,301.1,16.45264,,
9,301.1,16.46762,,
0,321,17.6593,,
1,321,17.65624,,
2,321,17.65684,,
3,321,17.65523,,
4,321,17.65751,,
5,321,17.65607,,
6,321,17.65371,,
7,321,17.65972,,
8,321,17.65439,,
9,321,17.65998,,
0,340.1,18.75471,,
1,340.1,18.74405,,
2,340.1,18.75141,,
3,340.1,18.7641,,
4,340.1,18.75505,,
5,340.1,18.7476,,
6,340.1,18.75276,,
7,340.1,18.74989,,
8,340.1,18.74007,,
9,340.1,18.7542,,
0,360,19.7896,,
1,360,19.79095,,
2,360,19.78055,,
3,360,19.78369,,
4,360,19.78529,,
5,360,19.78631,,
6,360,19.78835,,
7,360,19.77616,,
8,360,19.77641,,
9,360,19.77041,,
0,379.8,20.76645,,
1,379.8,20.76306,,
2,379.8,20.76256,,
3,379.8,20.76213,,
4,379.8,20.76213,,
5,379.8,20.75637,,
6,379.8,20.75637,,
7,379.8,20.76466,,
8,379.8,20.75612,,
9,379.8,20.75908,,
0,400,21.65142,,
1,400,21.64285,,
2,400,21.64209,,
3,400,21.62855,,
4,400,21.63744,,
5,400,21.6443,,
6,400,21.63321,,
7,400,21.63238,,
8,400,21.64592,,
9,400,21.6377,,
0,320,20.83096,,
1,320,20.72481,,
2,320,20.6549,,
3,320,20.56365,,
4,320,20.49593,,
5,320,20.40594,,
6,320,20.32943,,
7,320,20.24774,,
8,320,20.16784,,
9,320,20.09148,,
0,330.0,17.24654,,
1,330.0,17.23487,,
2,330.0,17.25281,,
3,330.0,17.25145,,
4,330.0,17.24714,,
5,330.0,17.24477,,
6,330.0,17.24808,,
7,330.0,17.25696,,
8,330.0,17.24419,,
9,330.0,17.24782,,
0,340.0,16.6066,,
1,340.0,16.60474,,
2,340.0,16.60491,,
3,340.0,16.59543,,
4,340.0,16.60821,,
5,340.0,16.59222,,
6,340.0,16.59594,,
7,340.0,16.59874,,
8,340.0,16.60018,,
9,340.0,16.6105,,
0,350.0,16.71157,,
1,350.0,16.70675,,
2,350.0,16.70937,,
3,350.0,16.70497,,
4,350.0,16.71343,,
5,350.0,16.70225,,
6,350.0,16.70005,,
7,350.0,16.70869,,
8,350.0,16.707,,
9,350.0,16.71301,,
0,360.0,16.95381,,
1,360.0,16.94975,,
2,360.0,16.95729,,
3,360.0,16.95559,,
4,360.0,16.9577,,
5,360.0,16.96135,,
6,360.0,16.96211,,
7,360.0,16.94044,,
8,360.0,16.95084,,
9,360.0,16.95152,,
0,370.0,17.20975,,
1,370.0,17.20527,,
2,370.0,17.21238,,
3,370.0,17.21221,,
4,370.0,17.21001,,
5,370.0,17.21966,,
6,370.0,17.22176,,
7,370.0,17.21169,,
8,370.0,17.21822,,
9,370.0,17.21593,,
0,380.0,17.51914,,
1,380.0,17.5116,,
2,380.0,17.51677,,
3,380.0,17.52633,,
4,380.0,17.52888,,
5,380.0,17.52041,,
6,380.0,17.51482,,
7,380.0,17.51431,,
8,380.0,17.51625,,
9,380.0,17.52151,,
0,390.0,17.86642,,
1,390.0,17.87404,,
2,390.0,17.87251,,
3,390.0,17.87523,,
4,390.0,17.87853,,
5,390.0,17.87124,,
6,390.0,17.86744,,
7,390.0,17.88013,,
8,390.0,17.87928,,
9,390.0,17.87827,,
0,400.0,18.32445,,
1,400.0,18.3412,,
2,400.0,18.34163,,
3,400.0,18.34747,,
4,400.0,18.33342,,
5,400.0,18.33959,,
6,400.0,18.3324,,
7,400.0,18.32098,,
8,400.0,18.32191,,
9,400.0,18.31902,,
0,400.0,18.57763,,
1,400.0,18.59134,,
2,400.0,18.58339,,
3,400.0,18.59015,,
4,400.0,18.58838,,
5,400.0,18.58913,,
6,400.0,18.59371,,
7,400.0,18.57627,,
8,400.0,18.57872,,
9,400.0,18.57483,,
0,410.0,19.47815,,
1,410.0,19.4828,,
2,410.0,19.47467,,
3,410.0,19.48652,,
4,410.0,19.47856,,
5,410.0,19.46748,,
6,410.0,19.47002,,
7,410.0,19.46925,,
8,410.0,19.46596,,
9,410.0,19.46392,,
