Timestamp,Temperature,Resistances,Mean,Std
0,380.2,18.56965,,
1,380.2,18.56178,,
2,380.2,18.57235,,
3,380.2,18.57287,,
4,380.2,18.57855,,
5,380.2,18.57109,,
6,380.2,18.55797,,
7,380.2,18.55975,,
8,380.2,18.56118,,
9,380.2,18.55915,,
0,360,17.41664,,
1,360,17.41333,,
2,360,17.4075,,
3,360,17.41715,,
4,360,17.40538,,
5,360,17.408,,
6,360,17.4124,,
7,360,17.41342,,
8,360,17.4042,,
9,360,17.40369,,
0,340.1,16.2067,,
1,340.1,16.22024,,
2,340.1,16.21008,,
3,340.1,16.21457,,
4,340.1,16.20949,,
5,340.1,16.22151,,
6,340.1,16.21406,,
7,340.1,16.21448,,
8,340.1,16.22269,,
9,340.1,16.21964,,
0,320,15.62906,,
1,320,15.49438,,
2,320,15.50039,,
3,320,15.44664,,
4,320,15.73181,,
5,320,15.4105,,
6,320,15.29624,,
7,320,15.40402,,
8,320,15.36081,,
9,320,15.56362,,
0,300.1,14.42798,,
1,300.1,14.48309,,
2,300.1,14.49003,,
3,300.1,14.43991,,
4,300.1,14.47987,,
5,300.1,14.55453,,
6,300.1,14.54962,,
7,300.1,14.48038,,
8,300.1,14.50112,,
9,300.1,14.47615,,
