Timestamp,Temperatures,SetPoints
0,8.58,10
1,8.58,10
2,8.59,10
3,8.63,10
4,8.66,10
5,8.78,10
6,8.87,10
7,9.05,10
8,9.16,10
9,9.35,10
10,9.43,10
11,9.62,10
12,9.71,10
13,9.81,10
14,9.84,10
15,9.92,10
16,9.95,10
17,9.96,10
18,9.98,10
19,10.01,10
20,10.0,10
21,9.99,10
22,10.02,10
23,10.03,10
24,10.03,10
25,10.03,10
26,10.05,10
27,10.05,10
28,10.03,10
29,10.03,10
30,10.04,10
31,10.05,10
32,10.02,10
33,10.01,10
34,10.03,10
35,10.03,10
36,10.0,10
37,10.0,10
38,10.0,10
39,10.0,10
40,9.98,10
41,9.99,10
42,10.01,10
43,10.0,10
44,9.98,10
45,9.99,10
46,10.0,10
47,9.98,10
48,9.97,10
49,9.97,10
50,9.99,10
51,9.98,10
52,9.98,10
53,10.0,10
54,10.02,10
55,10.01,10
56,10.0,10
57,10.01,10
58,10.03,10
59,10.02,10
60,10.01,10
61,10.03,10
62,10.02,10
63,10.0,10
64,10.02,10
65,10.03,10
66,10.04,10
67,10.02,10
68,9.99,10
69,9.99,10
70,10.01,10
71,9.99,10
72,9.98,10
73,9.96,10
74,9.97,10
