Timestamp,Temperature,Resistances,Mean,Std
0,301.1,16.46076,,
1,301.1,16.47092,,
2,301.1,16.47735,,
3,301.1,16.46558,,
4,301.1,16.47151,,
5,301.1,16.4688,,
6,301.1,16.47042,,
7,301.1,16.45747,,
8,301.1,16.45264,,
9,301.1,16.46762,,
0,321,17.6593,,
1,321,17.65624,,
2,321,17.65684,,
3,321,17.65523,,
4,321,17.65751,,
5,321,17.65607,,
6,321,17.65371,,
7,321,17.65972,,
8,321,17.65439,,
9,321,17.65998,,
0,340.1,18.75471,,
1,340.1,18.74405,,
2,340.1,18.75141,,
3,340.1,18.7641,,
4,340.1,18.75505,,
5,340.1,18.7476,,
6,340.1,18.75276,,
7,340.1,18.74989,,
8,340.1,18.74007,,
9,340.1,18.7542,,
0,360,19.7896,,
1,360,19.79095,,
2,360,19.78055,,
3,360,19.78369,,
4,360,19.78529,,
5,360,19.78631,,
6,360,19.78835,,
7,360,19.77616,,
8,360,19.77641,,
9,360,19.77041,,
0,379.8,20.76645,,
1,379.8,20.76306,,
2,379.8,20.76256,,
3,379.8,20.76213,,
4,379.8,20.76213,,
5,379.8,20.75637,,
6,379.8,20.75637,,
7,379.8,20.76466,,
8,379.8,20.75612,,
9,379.8,20.75908,,
0,400,21.65142,,
1,400,21.64285,,
2,400,21.64209,,
3,400,21.62855,,
4,400,21.63744,,
5,400,21.6443,,
6,400,21.63321,,
7,400,21.63238,,
8,400,21.64592,,
9,400,21.6377,,
