Timestamp,Temperature,Resistances,Mean,Std
0,10.02,3.647681,,
1,10.02,3.648359,,
2,9.99,3.657672,,
3,10.01,3.658854,,
4,10.0,3.656487,,
5,10.0,3.654625,,
6,10.01,3.649631,,
7,9.97,3.646921,,
8,9.98,3.652847,,
9,9.97,3.647514,,
0,20.02,3.771439,,
1,20.03,3.773979,,
2,20.05,3.778041,,
3,20.04,3.778718,,
4,20.03,3.767628,,
5,19.99,3.770422,,
6,19.98,3.767119,,
7,19.97,3.76966,,
8,20.0,3.796577,,
9,20.0,3.772452,,
0,29.98,4.113156,,
1,29.98,4.115273,,
2,29.98,4.10664,,
3,29.98,4.119589,,
4,29.98,4.112395,,
5,29.98,4.121962,,
6,29.99,4.109773,,
7,29.99,4.113921,,
8,30.0,4.114004,,
9,30.0,4.124669,,
0,40.02,4.481286,,
1,40.02,4.468081,,
2,40.02,4.475106,,
3,40.02,4.483063,,
4,40.02,4.491274,,
5,40.02,4.474852,,
6,40.02,4.473922,,
7,40.02,4.483148,,
8,40.02,4.487042,,
9,40.02,4.493221,,
0,50.0,4.861427,,
1,50.0,4.869638,,
2,50.0,4.864223,,
3,50.0,4.873788,,
4,50.0,4.873703,,
5,50.01,4.884707,,
6,50.01,4.885637,,
7,50.01,4.888175,,
8,50.01,4.893681,,
9,50.01,4.893256,,
0,60.02,5.31141,,
1,60.03,5.308531,,
2,60.02,5.317588,,
3,60.02,5.305229,,
4,60.01,5.307936,,
5,60.02,5.314793,,
6,60.03,5.31386,,
7,60.02,5.305058,,
8,60.01,5.323004,,
9,60.01,5.317248,,
0,70.02,5.764688,,
1,70.02,5.770104,,
2,70.02,5.759185,,
3,70.02,5.752244,,
4,70.02,5.758086,,
5,70.02,5.749366,,
6,70.02,5.737176,,
7,70.02,5.746401,,
8,70.02,5.747756,,
9,70.03,5.746826,,
0,80.02,6.156173,,
1,80.02,6.156511,,
2,80.02,6.171831,,
3,80.02,6.169713,,
4,80.01,6.161841,,
5,80.02,6.161672,,
6,80.02,6.154985,,
7,80.02,6.157355,,
8,80.02,6.155831,,
9,80.02,6.150925,,
0,90.02,6.616309,,
1,90.02,6.621645,,
2,90.01,6.616396,,
3,90.01,6.62122,,
4,90.0,6.616479,,
5,90.0,6.618343,,
6,90.0,6.615634,,
7,90.01,6.614278,,
8,90.01,6.609457,,
9,90.01,6.607932,,
0,100.0,6.981128,,
1,100.0,6.98985,,
2,100.0,6.983841,,
3,100.0,6.976562,,
4,100.0,6.981726,,
5,100.0,6.975209,,
6,100.0,6.97758,,
7,100.0,6.986975,,
8,100.0,6.980965,,
9,100.0,6.98613,,
0,110.02,7.385235,,
1,110.02,7.384557,,
2,110.02,7.37694,,
3,110.01,7.382528,,
4,110.01,7.386421,,
5,110.0,7.384221,,
6,110.0,7.382951,,
7,110.0,7.370847,,
8,110.0,7.378721,,
9,110.0,7.376179,,
0,120.01,7.72128,,
1,120.01,7.721114,,
2,120.02,7.718657,,
3,120.02,7.716119,,
4,120.02,7.733641,,
5,120.01,7.722384,,
6,120.01,7.725006,,
7,120.01,7.737619,,
8,120.01,7.7267,,
9,120.01,7.737955,,
0,130.01,8.112602,,
1,130.01,8.116751,,
2,130.01,8.120898,,
3,130.01,8.113874,,
4,130.01,8.112943,,
5,130.01,8.127498,,
6,130.01,8.124112,,
7,130.01,8.122252,,
8,130.0,8.123945,,
9,130.0,8.144004,,
0,140.0,8.533543,,
1,140.0,8.534983,,
2,140.0,8.533204,,
3,140.0,8.534643,,
4,139.99,8.530582,,
5,140.0,8.533121,,
6,140.0,8.539214,,
7,140.0,8.525419,,
8,139.99,8.531937,,
9,139.99,8.525079,,
0,150.0,8.839629,,
1,150.0,8.838529,,
2,150.0,8.850722,,
3,150.0,8.851649,,
4,150.0,8.849788,,
5,150.0,8.850631,,
6,150.0,8.850464,,
7,150.0,8.850379,,
8,150.0,8.860367,,
9,149.99,8.849105,,
0,160.01,9.220454,,
1,160.01,9.233831,,
2,160.01,9.220963,,
3,160.01,9.225536,,
4,160.0,9.223248,,
5,160.0,9.225872,,
6,160.0,9.21842,,
7,160.0,9.228662,,
8,160.0,9.230016,,
9,160.0,9.22189,,
0,169.97,9.501312,,
1,169.97,9.513414,,
2,169.97,9.49276,,
3,169.97,9.502577,,
4,169.97,9.51096,,
5,169.97,9.503678,,
6,169.97,9.512905,,
7,169.97,9.516294,,
8,169.97,9.503089,,
9,169.97,9.507575,,
0,179.98,9.87443,,
1,179.98,9.876376,,
2,179.98,9.881117,,
3,179.98,9.888231,,
4,179.99,9.885265,,
5,179.99,9.885605,,
6,179.98,9.871724,,
7,179.98,9.873244,,
8,179.98,9.885181,,
9,179.98,9.876886,,
0,189.97,10.1668,,
1,189.97,10.15114,,
2,189.97,10.15284,,
