Timestamp,Temperature,Resistances,Mean,Std
0,250.1,12.72447,,
1,250.1,12.72134,,
2,250.1,12.71338,,
3,250.1,12.72117,,
4,250.1,12.69976,,
5,250.1,12.69874,,
6,250.1,12.71339,,
7,250.1,12.70899,,
8,250.1,12.71567,,
9,250.1,12.70475,,
0,260.0,12.62882,,
1,260.0,12.62713,,
2,260.0,12.62155,,
3,260.0,12.63374,,
4,260.0,12.62789,,
5,260.0,12.62636,,
6,260.0,12.61519,,
7,260.0,12.61485,,
8,260.0,12.62273,,
9,260.0,12.6262,,
0,270.0,12.82265,,
1,270.0,12.83035,,
2,270.0,12.8169,,
3,270.0,12.82384,,
4,270.0,12.82215,,
5,270.0,12.81182,,
6,270.0,12.81995,,
7,270.0,12.81461,,
8,270.0,12.80192,,
9,270.0,12.82147,,
0,280.0,13.0329,,
1,280.0,13.0445,,
2,280.0,13.04864,,
3,280.0,13.04162,,
4,280.0,13.04577,,
5,280.0,13.04754,,
6,280.0,13.04983,,
7,280.0,13.03552,,
8,280.0,13.03908,,
9,280.0,13.03857,,
0,290.0,13.52978,,
1,290.0,13.53825,,
2,290.0,13.5247,,
3,290.0,13.54383,,
4,290.0,13.53291,,
5,290.0,13.54493,,
6,290.0,13.54196,,
7,290.0,13.54679,,
8,290.0,13.54407,,
9,290.0,13.54136,,
0,300.0,13.8902,,
1,300.0,13.88706,,
2,300.0,13.8835,,
3,300.0,13.89587,,
4,300.0,13.89595,,
5,300.0,13.89485,,
6,300.0,13.89367,,
7,300.0,13.88478,,
8,300.0,13.89298,,
9,300.0,13.89265,,
0,310.1,14.29175,,
1,310.1,14.30191,,
2,310.0,14.29708,,
3,310.0,14.29853,,
4,310.0,14.29819,,
5,310.0,14.30234,,
6,310.0,14.31004,,
7,310.0,14.313,,
8,310.0,14.30876,,
9,310.0,14.31215,,
0,320.1,14.72617,,
1,320.1,14.73455,,
2,320.0,14.72532,,
3,320.0,14.72016,,
4,320.0,14.72025,,
5,320.0,14.71153,,
6,320.0,14.71949,,
7,320.0,14.71991,,
8,320.0,14.73413,,
9,320.0,14.72736,,
0,330.0,15.17411,,
1,330.0,15.17631,,
2,330.0,15.18613,,
3,330.0,15.17123,,
4,330.0,15.18791,,
5,330.0,15.17682,,
6,330.0,15.17893,,
7,330.0,15.17732,,
8,330.0,15.19171,,
9,330.0,15.19103,,
0,340.1,15.61647,,
1,340.1,15.60089,,
2,340.0,15.61435,,
3,340.0,15.60826,,
4,340.0,15.61766,,
5,340.0,15.61799,,
6,340.0,15.61528,,
7,340.0,15.62578,,
8,340.0,15.62392,,
9,340.0,15.61283,,
0,350.1,16.08396,,
1,350.1,16.07761,,
2,350.1,16.10444,,
3,350.0,16.08879,,
4,350.0,16.10639,,
5,350.0,16.08896,,
6,350.0,16.09403,,
7,350.0,16.10343,,
8,350.0,16.09251,,
9,350.0,16.09995,,
