Timestamp,Temperature,Resistances,Mean,Std
0,250.1,14.3176,,
1,250.0,14.37641,,
2,250.0,14.33572,,
3,250.0,14.46091,,
4,250.0,15.32582,,
5,250.0,14.55038,,
6,250.0,14.23443,,
7,250.0,14.51773,,
8,250.0,14.33572,,
9,250.0,14.4714,,
0,260.0,14.25377,,
1,260.0,14.23092,,
2,260.0,14.24946,,
3,260.0,14.21966,,
4,260.0,14.23643,,
5,260.0,14.28569,,
6,260.0,14.29018,,
7,260.0,14.26741,,
8,260.0,14.2801,,
9,260.0,14.24049,,
0,270.0,14.94177,,
1,270.0,14.93458,,
2,270.0,14.93034,,
3,270.0,14.91781,,
4,270.0,14.92704,,
5,270.0,14.92924,,
6,270.0,14.91739,,
7,270.0,14.91891,,
8,270.0,14.91544,,
9,270.0,14.92331,,
0,280.0,15.14583,,
1,280.0,15.13982,,
2,280.0,15.1366,,
3,280.0,15.1388,,
4,280.0,15.12916,,
5,280.0,15.12238,,
6,280.0,15.13127,,
7,280.0,15.12932,,
8,280.0,15.11451,,
9,280.0,15.11527,,
0,290.0,15.31419,,
1,290.0,15.31885,,
2,290.0,15.30311,,
3,290.0,15.3197,,
4,290.0,15.31073,,
5,290.0,15.30573,,
6,290.0,15.30573,,
7,290.0,15.30539,,
8,290.0,15.30616,,
9,290.0,15.31894,,
0,300.0,15.73302,,
1,300.0,15.72769,,
2,300.0,15.73463,,
3,300.0,15.73395,,
4,300.0,15.73649,,
5,300.0,15.73353,,
6,300.0,15.72302,,
7,300.0,15.72556,,
8,300.0,15.73318,,
9,300.0,15.74004,,
0,310.0,16.17216,,
1,310.0,16.17715,,
2,310.0,16.16242,,
3,310.0,16.17597,,
4,310.0,16.17284,,
5,310.0,16.17842,,
6,310.0,16.17318,,
7,310.0,16.18054,,
8,310.0,16.16869,,
9,310.0,16.16734,,
0,320.0,16.71738,,
1,320.0,16.72128,,
2,320.0,16.73135,,
3,320.0,16.7261,,
4,320.0,16.73803,,
5,320.0,16.7338,,
6,320.0,16.72872,,
7,320.0,16.72017,,
8,320.0,16.71999,,
9,320.0,16.73447,,
0,330.0,17.23963,,
1,330.0,17.23067,,
2,330.0,17.22746,,
3,330.0,17.22576,,
4,330.0,17.22576,,
5,330.0,17.24709,,
6,330.0,17.24489,,
7,330.0,17.23354,,
8,330.0,17.24116,,
9,330.0,17.2542,,
0,340.0,17.7421,,
1,340.0,17.77249,,
2,340.0,17.74261,,
3,340.0,17.73608,,
4,340.0,17.72746,,
5,340.0,17.7377,,
6,340.0,17.74202,,
7,340.0,17.74981,,
8,340.0,17.75175,,
9,340.0,17.75827,,
0,350.0,18.26317,,
1,350.0,18.24692,,
2,350.0,18.25056,,
3,350.0,18.25131,,
4,350.0,18.25478,,
5,350.0,18.25182,,
6,350.0,18.25512,,
7,350.0,18.24556,,
8,350.0,18.25707,,
9,350.0,18.24336,,
