Timestamp,Temperatures,SetPoints
0,9.16,20
1,9.16,20
2,9.15,20
3,19.22,20
4,22.61,20
5,27.21,20
6,26.88,20
7,25.61,20
8,24.91,20
9,23.73,20
10,22.95,20
11,23.93,20
12,23.51,20
13,22.52,20
14,21.98,20
15,21.17,20
16,21.28,20
17,28.76,20
18,28.48,20
19,27.44,20
20,27.07,20
21,25.96,20
22,25.03,20
23,24.54,20
24,25.14,20
25,24.65,20
26,23.7,20
27,23.3,20
28,22.4,20
29,21.91,20
30,21.01,20
31,21.12,20
32,28.9,20
33,28.78,20
34,27.96,20
35,27.48,20
36,26.63,20
37,26.08,20
38,25.25,20
39,24.74,20
40,25.4,20
41,24.85,20
42,23.91,20
43,23.55,20
44,22.71,20
45,22.24,20
46,21.6,20
47,21.72,20
48,22.2,20
49,22.52,20
50,23.31,20
51,23.81,20
52,26.35,20
53,27.64,20
54,27.14,20
55,26.64,20
56,25.55,20
57,24.94,20
58,24.05,20
59,23.69,20
60,22.88,20
61,22.45,20
62,21.51,20
63,21.03,20
64,20.83,20
65,21.09,20
66,21.86,20
67,22.27,20
68,23.18,20
69,23.68,20
70,24.88,20
71,24.73,20
72,23.89,20
73,23.52,20
74,22.68,20
75,22.23,20
76,21.3,20
77,20.88,20
78,20.28,20
79,20.12,20
80,19.84,20
81,19.73,20
82,25.26,20
83,27.73,20
84,27.29,20
85,26.41,20
86,25.86,20
87,24.95,20
88,24.47,20
89,24.98,20
90,24.58,20
91,23.7,20
92,23.3,20
93,22.46,20
94,21.99,20
95,21.3,20
96,21.28,20
97,21.53,20
98,21.66,20
99,21.87,20
100,21.98,20
101,22.06,20
102,21.85,20
103,21.38,20
104,21.42,20
105,21.7,20
106,21.86,20
107,22.11,20
108,22.24,20
109,22.36,20
110,22.13,20
111,21.25,20
112,20.83,20
113,20.25,20
114,20.14,20
115,19.92,20
116,19.85,20
117,20.49,20
118,21.03,20
119,21.95,20
120,22.25,20
121,22.65,20
122,22.85,20
123,22.92,20
124,22.62,20
125,21.64,20
126,21.29,20
127,21.58,20
128,21.88,20
129,22.57,20
130,22.98,20
131,24.02,20
132,25.07,20
133,26.77,20
134,26.5,20
135,25.44,20
136,24.87,20
137,23.97,20
138,23.63,20
139,22.84,20
140,22.42,20
141,21.48,20
142,21.18,20
143,21.3,20
144,21.5,20
145,21.9,20
146,22.06,20
147,22.34,20
148,22.46,20
149,22.39,20
150,21.6,20
151,21.07,20
152,20.88,20
153,27.1,20
154,29.05,20
155,28.19,20
156,27.85,20
157,26.91,20
158,26.63,20
159,25.67,20
160,26.97,20
161,25.97,20
162,25.49,20
163,24.53,20
164,24.05,20
165,23.35,20
166,22.96,20
167,22.56,20
168,21.66,20
169,21.16,20
170,20.52,20
171,20.39,20
172,20.18,20
173,20.08,20
174,19.86,20
175,19.78,20
176,20.29,20
177,20.69,20
178,21.33,20
179,21.62,20
180,22.13,20
181,22.36,20
182,22.55,20
183,22.28,20
184,21.24,20
185,20.71,20
186,20.42,20
187,20.54,20
188,20.81,20
189,20.92,20
190,21.14,20
191,21.23,20
192,21.08,20
193,20.77,20
194,20.57,20
195,20.73,20
196,21.01,20
197,21.15,20
198,21.4,20
199,21.49,20
200,21.22,20
201,20.94,20
202,20.52,20
203,20.46,20
204,20.31,20
205,20.25,20
206,20.13,20
207,20.24,20
208,20.55,20
209,20.58,20
210,20.54,20
211,20.49,20
212,20.44,20
213,20.5,20
214,20.33,20
215,19.99,20
216,19.46,20
217,19.46,20
218,20.09,20
219,20.46,20
220,20.87,20
221,20.95,20
222,21.11,20
223,21.06,20
224,20.53,20
225,20.45,20
226,20.92,20
227,21.23,20
228,21.83,20
229,22.12,20
230,22.64,20
231,22.73,20
232,22.14,20
233,21.62,20
234,21.07,20
235,20.52,20
236,20.55,20
237,20.69,20
238,20.75,20
239,20.83,20
240,20.88,20
241,20.8,20
242,20.49,20
243,20.3,20
244,20.51,20
245,20.97,20
246,21.14,20
247,21.48,20
248,21.61,20
249,21.55,20
250,21.2,20
251,20.54,20
252,20.37,20
253,20.02,20
254,19.87,20
255,19.61,20
256,19.65,20
257,20.18,20
258,20.44,20
259,20.79,20
260,20.96,20
261,21.22,20
262,21.33,20
263,21.03,20
264,20.7,20
265,20.47,20
266,20.48,20
267,20.48,20
268,20.46,20
269,20.47,20
270,20.55,20
271,20.42,20
272,20.11,20
273,19.51,20
274,19.51,20
275,20.12,20
276,20.49,20
277,20.9,20
278,20.99,20
279,21.14,20
280,21.18,20
281,20.69,20
282,20.48,20
283,20.63,20
284,20.76,20
285,20.99,20
286,21.09,20
287,21.27,20
288,21.26,20
289,20.71,20
290,20.51,20
291,20.5,20
292,20.51,20
293,20.52,20
294,20.57,20
295,20.57,20
296,20.56,20
297,20.34,20
298,19.83,20
299,19.54,20
300,19.4,20
301,19.44,20
302,19.73,20
303,20.42,20
304,20.62,20
305,20.75,20
306,20.84,20
307,20.87,20
308,20.73,20
309,20.45,20
310,20.2,20
311,20.33,20
312,20.56,20
313,20.68,20
314,20.85,20
315,20.93,20
316,20.69,20
317,20.48,20
318,20.34,20
319,20.44,20
320,20.68,20
321,20.79,20
322,20.95,20
323,21.02,20
324,20.67,20
325,20.4,20
326,20.35,20
327,20.45,20
328,20.63,20
329,20.7,20
330,20.82,20
331,20.86,20
332,20.46,20
333,20.22,20
334,20.22,20
335,20.31,20
336,20.46,20
337,20.54,20
338,20.64,20
339,20.67,20
340,20.26,20
341,20.03,20
342,19.88,20
343,19.85,20
344,19.77,20
345,19.74,20
346,19.72,20
347,19.95,20
348,20.6,20
349,20.83,20
350,21.23,20
351,21.41,20
352,21.74,20
353,21.76,20
354,21.14,20
355,20.74,20
356,20.14,20
357,19.87,20
358,19.54,20
359,19.62,20
360,20.06,20
361,20.2,20
362,20.17,20
363,20.08,20
364,20.21,20
365,20.36,20
366,20.49,20
367,20.48,20
368,20.44,20
369,20.45,20
370,20.51,20
371,20.37,20
372,19.92,20
373,19.78,20
374,19.71,20
375,19.54,20
376,19.52,20
377,19.68,20
378,19.76,20
379,19.63,20
380,19.56,20
381,19.83,20
382,20.08,20
383,20.29,20
384,20.27,20
385,20.16,20
386,20.3,20
387,20.5,20
388,20.45,20
389,20.28,20
390,20.2,20
391,20.04,20
392,20.19,20
393,20.48,20
394,20.48,20
395,20.42,20
396,20.4,20
397,20.45,20
398,20.5,20
399,20.19,20
400,19.9,20
401,19.48,20
402,19.36,20
403,19.29,20
404,19.31,20
405,19.31,20
406,19.28,20
407,19.27,20
408,19.33,20
409,19.47,20
410,19.44,20
411,19.41,20
412,19.6,20
413,20.17,20
414,20.33,20
415,20.34,20
416,20.31,20
417,20.41,20
418,20.5,20
419,20.31,20
420,20.11,20
421,19.82,20
422,19.73,20
423,19.83,20
424,19.95,20
425,20.02,20
426,20.0,20
427,19.95,20
428,19.91,20
429,20.14,20
430,20.38,20
431,20.62,20
432,20.67,20
433,20.76,20
434,20.81,20
435,20.83,20
436,20.6,20
437,20.13,20
438,20.09,20
439,20.11,20
440,20.15,20
441,20.17,20
442,20.14,20
443,20.27,20
444,20.43,20
445,20.36,20
446,20.14,20
447,20.03,20
448,19.85,20
449,20.08,20
450,20.72,20
451,20.94,20
452,21.28,20
453,21.45,20
454,21.77,20
455,21.88,20
456,21.38,20
457,20.94,20
458,20.19,20
459,19.89,20
460,19.42,20
461,19.54,20
462,19.78,20
463,19.81,20
464,19.69,20
465,19.61,20
466,20.01,20
467,20.31,20
468,20.71,20
469,20.87,20
470,21.17,20
471,21.29,20
472,21.29,20
473,20.99,20
474,20.48,20
475,20.44,20
476,20.35,20
477,20.33,20
478,20.28,20
479,20.3,20
480,20.4,20
481,20.32,20
482,19.89,20
483,19.73,20
484,19.66,20
485,19.73,20
486,19.65,20
487,19.54,20
488,19.71,20
489,19.94,20
490,20.12,20
491,20.15,20
492,20.08,20
493,20.12,20
